year,state,age_group,sex,n_alc_att,total_n,pct_alc_attributable
2010,Alabama,0-14,Female,0,21,0
2010,Alabama,0-14,Male,0,18,0
2010,Alabama,15–19,Female,3,44,0.06818181818181818
2010,Alabama,15–19,Male,1,45,0.022222222222222223
2010,Alabama,20–24,Female,3,24,0.125
2010,Alabama,20–24,Male,24,80,0.3
2010,Alabama,25–34,Female,8,45,0.17777777777777778
2010,Alabama,25–34,Male,32,112,0.2857142857142857
2010,Alabama,35–44,Female,8,36,0.2222222222222222
2010,Alabama,35–44,Male,34,93,0.3655913978494624
2010,Alabama,45-54,Female,5,37,0.13513513513513514
2010,Alabama,45-54,Male,19,83,0.2289156626506024
2010,Alabama,55-64,Female,0,25,0
2010,Alabama,55-64,Male,17,79,0.21518987341772153
2010,Alabama,65+,Female,1,53,0.018867924528301886
2010,Alabama,65+,Male,2,65,0.03076923076923077
2010,Alaska,0-14,Female,0,3,0
2010,Alaska,0-14,Male,0,1,0
2010,Alaska,15–19,Female,1,3,0.3333333333333333
2010,Alaska,15–19,Male,0,3,0
2010,Alaska,20–24,Female,0,2,0
2010,Alaska,20–24,Male,1,4,0.25
2010,Alaska,25–34,Female,0,2,0
2010,Alaska,25–34,Male,1,3,0.3333333333333333
2010,Alaska,35–44,Female,1,2,0.5
2010,Alaska,35–44,Male,2,5,0.4
2010,Alaska,45-54,Female,1,2,0.5
2010,Alaska,45-54,Male,2,7,0.2857142857142857
2010,Alaska,55-64,Female,0,2,0
2010,Alaska,55-64,Male,5,9,0.5555555555555556
2010,Alaska,65+,Female,0,0,NA
2010,Alaska,65+,Male,0,8,0
2010,Arizona,0-14,Female,0,12,0
2010,Arizona,0-14,Male,2,20,0.1
2010,Arizona,15–19,Female,1,8,0.125
2010,Arizona,15–19,Male,10,36,0.2777777777777778
2010,Arizona,20–24,Female,3,14,0.21428571428571427
2010,Arizona,20–24,Male,27,61,0.4426229508196721
2010,Arizona,25–34,Female,11,42,0.2619047619047619
2010,Arizona,25–34,Male,21,89,0.23595505617977527
2010,Arizona,35–44,Female,5,30,0.16666666666666666
2010,Arizona,35–44,Male,25,81,0.30864197530864196
2010,Arizona,45-54,Female,7,34,0.20588235294117646
2010,Arizona,45-54,Male,27,76,0.35526315789473684
2010,Arizona,55-64,Female,4,37,0.10810810810810811
2010,Arizona,55-64,Male,16,76,0.21052631578947367
2010,Arizona,65+,Female,0,61,0
2010,Arizona,65+,Male,11,80,0.1375
