state,year,percap_beer,percap_wine,percap_spirits,percap_all,decile
Alabama,2023,0.90,0.23,0.83,1.95,9
Alabama,2022,0.96,0.24,0.81,2.01,9
Alabama,2021,1.01,0.25,0.81,2.08,9
Alabama,2020,1.03,0.25,0.77,2.05,9
Alabama,2019,1.02,0.26,0.71,1.99,9
Alabama,2018,1.04,0.26,0.69,1.99,9
Alabama,2017,1.07,0.26,0.67,1.99,9
Alabama,2016,1.09,0.26,0.65,2.01,9
Alabama,2015,1.11,0.26,0.64,2.01,9
Alabama,2014,1.13,0.25,0.62,1.99,9
Alabama,2013,1.14,0.25,0.60,1.99,9
Alabama,2012,1.16,0.24,0.60,2.00,9
Alabama,2011,1.16,0.24,0.59,1.98,9
Alabama,2010,1.17,0.23,0.58,1.98,9
Alabama,2009,1.19,0.22,0.57,1.98,9
Alabama,2008,1.22,0.22,0.57,2.01,9
Alabama,2007,1.23,0.22,0.55,2.00,9
Alabama,2006,1.21,0.21,0.54,1.95,9
Alabama,2005,1.18,0.20,0.53,1.91,9
Alabama,2004,1.19,0.20,0.52,1.91,9
Alabama,2003,1.19,0.19,0.52,1.90,9
Alabama,2002,1.18,0.21,0.54,1.92,9
Alabama,2001,1.16,0.17,0.53,1.86,9
Alabama,2000,1.19,0.18,0.51,1.88,9
Alabama,1999,1.18,0.17,0.51,1.87,9
Alabama,1998,1.16,0.17,0.51,1.85,9
Alabama,1997,1.14,0.16,0.52,1.82,9
Alabama,1996,1.17,0.18,0.53,1.88,8
Alabama,1995,1.14,0.16,0.53,1.82,9
Alabama,1994,1.16,0.17,0.54,1.87,9
Alabama,1993,1.14,0.17,0.56,1.86,9
Alabama,1992,1.02,0.19,0.59,1.79,10
Alabama,1991,1.00,0.17,0.59,1.76,10
Alabama,1990,1.12,0.18,0.61,1.92,9
Alabama,1989,1.12,0.17,0.61,1.90,9
Alabama,1988,1.12,0.19,0.62,1.92,9
Alabama,1987,1.11,0.18,0.62,1.91,9
Alabama,1986,1.10,0.18,0.65,1.92,9
Alabama,1985,1.07,0.17,0.67,1.92,9
Alabama,1984,1.03,0.19,0.69,1.91,9
Alabama,1983,1.01,0.17,0.72,1.90,10
Alabama,1982,1.00,0.18,0.72,1.90,10
Alabama,1981,1.00,0.19,0.73,1.91,10
Alabama,1980,0.95,0.16,0.74,1.86,10
Alabama,1979,0.96,0.12,0.82,1.90,10
Alabama,1978,0.95,0.12,0.85,1.92,9
Alabama,1977,0.97,0.12,0.82,1.92,9
Alaska,2023,0.96,0.54,1.32,2.81,3
Alaska,2022,1.02,0.53,1.32,2.86,3
Alaska,2021,1.01,0.51,1.27,2.79,4
Alaska,2020,1.02,0.51,1.26,2.79,3
Alaska,2019,1.07,0.53,1.27,2.87,2
Alaska,2018,1.07,0.53,1.25,2.85,2
Alaska,2017,1.06,0.53,1.21,2.79,3
Alaska,2016,1.15,0.56,1.23,2.94,2
Alaska,2015,1.11,0.53,1.20,2.84,2
Alaska,2014,1.11,0.52,1.16,2.79,2
Alaska,2013,1.07,0.52,1.16,2.75,3
Alaska,2012,1.17,0.53,1.13,2.83,2
Alaska,2011,1.15,0.54,1.17,2.86,2
Alaska,2010,1.23,0.55,1.25,3.03,1
Alaska,2009,1.32,0.54,1.16,3.02,1
Alaska,2008,1.20,0.49,1.09,2.78,2
Alaska,2007,1.13,0.44,0.96,2.53,4
Alaska,2006,1.25,0.47,1.03,2.75,2
Alaska,2005,1.23,0.43,0.98,2.64,2
Alaska,2004,1.31,0.44,0.95,2.71,2
Alaska,2003,1.27,0.37,0.79,2.43,4
Alaska,2002,1.35,0.45,1.19,2.99,1
Alaska,2001,1.32,0.38,0.96,2.67,2
Alaska,2000,1.37,0.37,0.94,2.68,2
Alaska,1999,1.40,0.38,0.95,2.74,1
Alaska,1998,1.39,0.37,0.95,2.71,2
Alaska,1997,1.31,0.36,0.88,2.56,2
Alaska,1996,1.31,0.38,0.94,2.63,2
Alaska,1995,1.45,0.39,1.02,2.86,1
Alaska,1994,1.53,0.40,1.10,3.03,1
Alaska,1993,1.31,0.32,0.92,2.55,2
Alaska,1992,1.53,0.41,1.08,3.02,1
Alaska,1991,1.54,0.43,1.14,3.11,1
Alaska,1990,1.62,0.46,1.25,3.33,1
Alaska,1989,1.52,0.44,1.19,3.15,1
Alaska,1988,1.54,0.47,1.19,3.21,1
Alaska,1987,1.60,0.52,1.26,3.38,1
Alaska,1986,1.65,0.55,1.25,3.45,1
Alaska,1985,1.63,0.56,1.48,3.68,1
Alaska,1984,1.67,0.56,1.50,3.72,1
Alaska,1983,1.71,0.59,1.65,3.95,1
Alaska,1982,1.69,0.54,1.68,3.92,1
Alaska,1981,1.68,0.56,1.79,4.02,1
Alaska,1980,1.54,0.50,1.68,3.72,1
Alaska,1979,1.48,0.46,1.63,3.58,1
Alaska,1978,1.39,0.45,1.67,3.51,1
Alaska,1977,1.19,0.42,1.69,3.30,2
Arizona,2023,0.98,0.38,,2.32,6
Arizona,2022,1.03,0.39,0.95,2.37,6
Arizona,2021,1.08,0.40,0.91,2.39,7
Arizona,2020,1.09,0.39,0.84,2.31,7
Arizona,2019,1.06,0.38,0.80,2.23,6
Arizona,2018,1.08,0.39,0.80,2.26,6
Arizona,2017,1.11,0.39,0.79,2.30,6
Arizona,2016,1.14,0.40,0.79,2.32,6
Arizona,2015,1.16,0.40,0.79,2.35,6
Arizona,2014,1.18,0.40,0.79,2.37,5
Arizona,2013,1.12,0.42,0.81,2.35,5
Arizona,2012,1.14,0.45,0.84,2.43,5
Arizona,2011,1.15,0.44,0.80,2.39,5
Arizona,2010,1.23,0.41,0.76,2.39,5
Arizona,2009,1.22,0.39,0.77,2.38,5
Arizona,2008,1.30,0.41,0.77,2.48,4
Arizona,2007,1.39,0.34,0.78,2.51,4
Arizona,2006,1.34,0.38,0.79,2.51,4
Arizona,2005,1.35,0.40,0.76,2.51,3
Arizona,2004,1.40,0.34,0.71,2.44,4
Arizona,2003,1.41,0.37,0.71,2.49,3
Arizona,2002,1.46,0.33,0.69,2.48,3
Arizona,2001,1.47,0.33,0.70,2.50,3
Arizona,2000,1.48,0.31,0.71,2.50,3
Arizona,1999,1.47,0.34,0.69,2.51,2
Arizona,1998,1.44,0.33,0.68,2.45,2
Arizona,1997,1.45,0.31,0.68,2.44,2
Arizona,1996,1.52,0.33,0.73,2.58,2
Arizona,1995,1.47,0.29,0.68,2.44,3
Arizona,1994,1.52,0.29,0.70,2.50,2
Arizona,1993,1.58,0.27,0.76,2.62,2
Arizona,1992,1.58,0.31,0.80,2.69,2
Arizona,1991,1.58,0.35,0.78,2.71,2
Arizona,1990,1.59,0.37,0.80,2.77,3
Arizona,1989,1.63,0.35,0.83,2.81,2
Arizona,1988,1.60,0.41,0.86,2.87,2
Arizona,1987,1.64,0.45,0.84,2.93,2
Arizona,1986,1.74,0.45,0.90,3.09,2
Arizona,1985,1.66,0.45,0.99,3.11,2
Arizona,1984,1.55,0.44,1.05,3.04,3
Arizona,1983,1.60,0.43,0.99,3.02,3
Arizona,1982,1.71,0.39,0.98,3.07,3
Arizona,1981,1.76,0.42,1.00,3.18,3
Arizona,1980,1.68,0.36,0.97,3.01,4
Arizona,1979,1.71,0.36,1.07,3.15,3
Arizona,1978,1.66,0.35,1.03,3.04,3
Arizona,1977,1.60,0.32,0.99,2.92,3
Arkansas,2023,0.88,0.24,0.75,1.87,10
Arkansas,2022,0.92,0.23,0.79,1.94,10
Arkansas,2021,0.94,0.26,0.76,1.96,10
Arkansas,2020,0.92,0.27,0.76,1.94,10
Arkansas,2019,0.87,0.24,0.70,1.81,10
